total_processing_days,premium,application_type,service_center
29.0,False,new application,California
160.0,False,new application,California
28.0,False,new application,Phoenix
32.0,False,new application,Vermont
52.0,False,new application,Vermont
161.0,False,new application,Vermont
38.0,False,new application,Vermont
140.0,False,new application,Dallas
22.0,False,new application,Phoenix
21.0,False,new application,California
28.0,False,new application,Phoenix
38.0,False,new application,California
138.0,False,new application,Vermont
41.0,False,new application,California
30.0,False,new application,Phoenix
42.0,False,renewal,California
60.0,False,new application,Vermont
61.0,False,new application,Vermont
115.0,False,new application,Vermont
93.0,False,new application,Vermont
45.0,False,new application,Dallas
47.0,False,new application,Vermont
43.0,False,new application,Vermont
60.0,False,new application,Vermont
53.0,False,new application,California
38.0,False,new application,Vermont
122.0,False,new application,Vermont
22.0,False,renewal,Vermont
28.0,False,renewal,Vermont
71.0,False,new application,Vermont
65.0,False,new application,Texas
62.0,False,new application,Dallas
105.0,False,new application,Vermont
158.0,False,new application,Phoenix
81.0,False,new application,Dallas
118.0,False,new application,Vermont
62.0,True,renewal,Vermont
96.0,False,new application,Vermont
62.0,False,new application,Texas
104.0,False,new application,Vermont
47.0,False,new application,Dallas
88.0,False,new application,Dallas
113.0,False,new application,Texas
36.0,False,new application,Vermont
74.0,False,new application,Dallas
23.0,False,new application,California
92.0,False,new application,Dallas
106.0,False,new application,Vermont
27.0,False,renewal,Vermont
26.0,False,new application,Vermont
11.0,True,new application,California
94.0,False,new application,Vermont
31.0,False,new application,Phoenix
63.0,False,new application,Vermont
23.0,False,new application,Phoenix
20.0,False,new application,California
102.0,False,new application,California
148.0,False,new application,Vermont
35.0,False,new application,Vermont
112.0,False,new application,Vermont
51.0,False,new application,Texas
111.0,False,new application,Texas
79.0,False,new application,Vermont
17.0,False,new application,California
138.0,False,new application,Texas
19.0,False,new application,California
120.0,False,new application,Vermont
63.0,False,new application,California
124.0,False,new application,Phoenix
21.0,False,new application,Phoenix
122.0,False,new application,Vermont
121.0,False,new application,Vermont
105.0,False,new application,Vermont
23.0,False,new application,California
115.0,False,new application,Phoenix
132.0,True,new application,California
35.0,False,new application,Vermont
14.0,True,new application,Vermont
113.0,False,new application,Vermont
25.0,False,new application,California
87.0,False,new application,Vermont
60.0,False,new application,Vermont
76.0,False,new application,Vermont
53.0,False,new application,Vermont
102.0,False,new application,Vermont
68.0,False,new application,Vermont
89.0,False,new application,Vermont
28.0,False,new application,California
110.0,False,new application,Vermont
38.0,False,new application,California
119.0,False,new application,Vermont
44.0,False,new application,Vermont
115.0,False,new application,Vermont
100.0,False,new application,Vermont
29.0,False,new application,Vermont
85.0,False,new application,Texas
82.0,False,new application,Vermont
13.0,False,new application,Phoenix
51.0,False,new application,Vermont
77.0,False,new application,Vermont
64.0,False,new application,Vermont
35.0,False,new application,California
25.0,False,new application,California
31.0,False,new application,California
74.0,False,new application,Vermont
98.0,False,new application,Vermont
30.0,False,new application,Phoenix
62.0,False,new application,Vermont
111.0,False,new application,Vermont
84.0,False,new application,Vermont
17.0,False,new application,California
22.0,False,new application,California
87.0,False,new application,Vermont
147.0,False,new application,Vermont
42.0,False,new application,Vermont
92.0,False,new application,Vermont
18.0,False,new application,California
106.0,False,new application,Vermont
26.0,False,new application,California
141.0,False,new application,Vermont
50.0,False,new application,Dallas
91.0,False,new application,Vermont
24.0,False,new application,California
66.0,False,new application,Vermont
135.0,False,new application,Vermont
79.0,False,new application,Vermont
86.0,False,new application,Vermont
16.0,False,new application,California
87.0,False,new application,Vermont
13.0,False,new application,Phoenix
71.0,False,new application,Vermont
102.0,False,new application,Dallas
78.0,False,new application,Vermont
124.0,False,new application,Vermont
104.0,False,new application,Vermont
125.0,False,new application,Vermont
144.0,False,new application,Phoenix
70.0,False,new application,Vermont
101.0,False,new application,Vermont
49.0,False,new application,Vermont
85.0,False,new application,Dallas
78.0,False,new application,Texas
61.0,False,new application,Vermont
130.0,False,new application,Vermont
108.0,False,new application,Vermont
46.0,False,new application,Vermont
100.0,True,new application,California
42.0,False,new application,California
70.0,False,new application,California
66.0,False,new application,Vermont
74.0,False,new application,Vermont
116.0,False,new application,Vermont
96.0,False,new application,Vermont
82.0,False,new application,Vermont
113.0,False,new application,Vermont
126.0,False,new application,Vermont
18.0,False,new application,Phoenix
97.0,False,new application,Dallas
83.0,False,new application,Vermont
94.0,False,new application,Vermont
75.0,False,new application,Vermont
120.0,False,new application,California
101.0,False,new application,Dallas
125.0,False,new application,Vermont
96.0,False,new application,Vermont
90.0,False,new application,Vermont
112.0,False,new application,Vermont
81.0,False,new application,Dallas
74.0,False,new application,Vermont
103.0,False,new application,California
40.0,False,new application,Texas
25.0,False,new application,California
114.0,False,new application,Vermont
10.0,False,new application,Phoenix
38.0,False,new application,California
78.0,False,new application,Texas
117.0,False,new application,Vermont
124.0,False,new application,California
90.0,False,new application,Vermont
137.0,False,new application,Dallas
113.0,False,new application,Texas
108.0,False,new application,Vermont
118.0,False,new application,Vermont
46.0,False,new application,Phoenix
40.0,False,new application,Dallas
120.0,False,new application,Vermont
125.0,False,new application,Phoenix
120.0,False,new application,Vermont
124.0,False,new application,Vermont
97.0,False,new application,Vermont
26.0,False,renewal,California
85.0,False,new application,Dallas
57.0,False,new application,Dallas
104.0,False,new application,Vermont
113.0,False,new application,Vermont
109.0,True,new application,Vermont
126.0,False,new application,Vermont
101.0,False,new application,Vermont
124.0,False,new application,Vermont
124.0,False,new application,Vermont
114.0,False,new application,Dallas
46.0,False,new application,California
17.0,False,new application,California
87.0,False,new application,Vermont
74.0,False,new application,Dallas
21.0,False,new application,California
67.0,False,new application,California
70.0,False,new application,Texas
110.0,False,new application,Vermont
128.0,False,new application,Vermont
58.0,False,new application,Dallas
83.0,False,new application,Dallas
104.0,False,new application,Vermont
122.0,False,new application,Vermont
49.0,False,new application,Vermont
43.0,False,new application,California
15.0,False,new application,Phoenix
57.0,False,new application,Vermont
18.0,False,new application,California
129.0,False,new application,California
85.0,False,new application,California
126.0,False,new application,Vermont
10.0,True,new application,Vermont
77.0,False,new application,Vermont
121.0,False,new application,California
98.0,False,new application,Vermont
30.0,False,new application,California
109.0,False,new application,Vermont
51.0,False,new application,Vermont
114.0,False,new application,Vermont
88.0,False,new application,Vermont
124.0,False,new application,Vermont
102.0,False,new application,Vermont
75.0,False,new application,Vermont
120.0,False,new application,California
61.0,False,new application,Phoenix
72.0,False,new application,Vermont
116.0,False,new application,Vermont
14.0,False,new application,Phoenix
27.0,False,new application,California
26.0,False,new application,Phoenix
107.0,False,new application,Vermont
111.0,False,new application,Vermont
14.0,False,renewal,Vermont
26.0,False,new application,California
50.0,False,new application,Vermont
120.0,False,new application,Vermont
99.0,False,new application,Vermont
119.0,False,new application,Vermont
77.0,False,new application,Texas
101.0,False,new application,Vermont
14.0,False,new application,Vermont
80.0,False,new application,Vermont
26.0,False,new application,California
89.0,False,new application,Vermont
11.0,False,new application,California
75.0,False,new application,Vermont
14.0,True,new application,Vermont
56.0,False,new application,Texas
91.0,False,new application,Texas
60.0,False,new application,Phoenix
72.0,False,new application,Vermont
61.0,False,new application,Vermont
65.0,False,new application,Vermont
118.0,False,new application,Vermont
117.0,False,new application,Vermont
121.0,False,new application,Vermont
57.0,False,new application,California
8.0,False,new application,California
90.0,False,new application,Vermont
87.0,False,new application,Vermont
44.0,False,new application,California
102.0,False,new application,Vermont
87.0,False,new application,Vermont
30.0,False,new application,California
81.0,False,new application,Vermont
102.0,False,new application,Vermont
80.0,False,new application,Vermont
9.0,True,new application,California
80.0,False,new application,Vermont
115.0,False,new application,Vermont
118.0,False,new application,Phoenix
94.0,False,new application,Vermont
99.0,False,new application,Texas
110.0,False,new application,Vermont
112.0,False,new application,Vermont
65.0,False,new application,Vermont
70.0,False,new application,California
79.0,False,new application,Vermont
111.0,False,new application,Vermont
108.0,False,new application,Vermont
120.0,False,new application,Phoenix
109.0,False,new application,Texas
70.0,False,new application,Dallas
89.0,False,new application,Texas
97.0,False,new application,Vermont
92.0,False,new application,Dallas
83.0,False,new application,Vermont
77.0,False,new application,Vermont
96.0,False,new application,Vermont
15.0,False,new application,California
21.0,False,new application,California
77.0,False,new application,Vermont
94.0,False,new application,Vermont
84.0,False,new application,Vermont
107.0,False,new application,California
94.0,False,new application,Vermont
109.0,False,new application,Vermont
116.0,False,new application,Vermont
98.0,False,new application,Vermont
31.0,False,new application,California
93.0,False,new application,Vermont
66.0,False,new application,Vermont
95.0,False,new application,Vermont
116.0,False,new application,Vermont
67.0,False,new application,Dallas
114.0,False,new application,Vermont
109.0,False,new application,Texas
19.0,False,new application,Phoenix
74.0,False,new application,Vermont
78.0,False,new application,Vermont
83.0,False,new application,Vermont
86.0,False,new application,Vermont
113.0,False,new application,California
113.0,False,new application,Dallas
104.0,False,new application,Vermont
100.0,False,new application,Vermont
98.0,False,new application,Vermont
79.0,False,new application,Vermont
85.0,False,new application,Texas
28.0,False,new application,California
86.0,False,new application,Dallas
70.0,False,new application,Vermont
105.0,False,new application,Vermont
20.0,False,new application,California
98.0,False,new application,Vermont
108.0,False,new application,Dallas
64.0,False,new application,Vermont
41.0,False,new application,California
20.0,False,new application,Phoenix
99.0,False,new application,Dallas
111.0,False,new application,Texas
85.0,False,new application,Vermont
82.0,False,new application,Texas
94.0,False,new application,Vermont
85.0,False,new application,Dallas
111.0,False,new application,Vermont
104.0,False,new application,Dallas
67.0,False,new application,Vermont
81.0,False,new application,Vermont
74.0,False,new application,Vermont
76.0,False,new application,California
80.0,False,new application,Phoenix
81.0,False,new application,Vermont
98.0,False,new application,Vermont
90.0,False,new application,Vermont
94.0,False,new application,Texas
103.0,False,new application,Vermont
99.0,False,new application,Vermont
104.0,False,new application,California
92.0,False,new application,Vermont
98.0,False,new application,Vermont
57.0,False,new application,California
67.0,False,new application,California
77.0,False,new application,California
92.0,True,new application,Vermont
104.0,False,new application,Vermont
107.0,False,new application,Vermont
87.0,False,new application,Dallas
86.0,False,new application,Vermont
85.0,False,new application,Vermont
46.0,False,new application,California
98.0,False,new application,Vermont
99.0,False,new application,Vermont
78.0,False,new application,California
80.0,False,new application,Dallas
105.0,False,new application,Vermont
89.0,False,new application,Texas
105.0,False,new application,Texas
87.0,False,new application,Vermont
77.0,False,new application,Vermont
95.0,True,new application,Vermont
21.0,False,new application,California
85.0,False,new application,Vermont
91.0,False,new application,Vermont
91.0,False,new application,Vermont
81.0,False,new application,Vermont
89.0,False,new application,Dallas
81.0,False,new application,Vermont
73.0,False,new application,Vermont
103.0,False,new application,Vermont
94.0,False,new application,Vermont
90.0,False,new application,Vermont
97.0,False,new application,Texas
86.0,False,new application,Vermont
88.0,False,new application,Vermont
99.0,False,new application,Vermont
47.0,False,new application,California
95.0,False,new application,Vermont
57.0,False,new application,California
98.0,False,new application,Vermont
73.0,False,new application,Vermont
90.0,False,new application,Texas
93.0,False,new application,Phoenix
79.0,False,new application,Vermont
92.0,False,new application,Dallas
24.0,False,new application,California
101.0,False,new application,Texas
89.0,False,new application,Vermont
95.0,False,new application,Vermont
88.0,False,new application,Vermont
97.0,False,new application,Vermont
84.0,False,new application,Vermont
83.0,False,new application,Vermont
68.0,False,new application,Vermont
93.0,False,new application,Vermont
51.0,False,new application,Texas
12.0,False,renewal,California
33.0,False,new application,Phoenix
87.0,False,new application,Vermont
22.0,False,new application,California
13.0,True,new application,Vermont
72.0,False,new application,Vermont
96.0,False,new application,California
84.0,True,new application,Vermont
14.0,False,new application,Phoenix
69.0,False,new application,California
85.0,False,new application,Vermont
83.0,False,new application,Vermont
12.0,False,new application,Phoenix
71.0,False,new application,Vermont
42.0,False,new application,Vermont
92.0,False,new application,Vermont
82.0,False,new application,Vermont
84.0,False,new application,Vermont
91.0,False,new application,Vermont
90.0,False,new application,Dallas
98.0,False,new application,Phoenix
12.0,False,new application,Phoenix
35.0,False,new application,California
22.0,False,new application,California
78.0,False,new application,Vermont
57.0,False,new application,Vermont
63.0,False,new application,Phoenix
90.0,False,new application,Vermont
77.0,False,new application,Vermont
96.0,False,new application,Vermont
93.0,False,new application,Vermont
90.0,False,new application,California
95.0,False,new application,Dallas
87.0,False,new application,Vermont
66.0,False,new application,California
96.0,False,new application,Vermont
79.0,False,new application,Vermont
71.0,False,new application,Vermont
87.0,False,new application,Vermont
87.0,False,new application,Vermont
42.0,False,new application,Phoenix
77.0,False,new application,Vermont
92.0,False,new application,Dallas
83.0,False,new application,California
86.0,False,new application,California
86.0,False,new application,Dallas
86.0,False,new application,Vermont
76.0,False,new application,Vermont
79.0,False,new application,Vermont
92.0,False,new application,Vermont
77.0,False,new application,Vermont
82.0,False,new application,Dallas
88.0,False,new application,Vermont
56.0,False,new application,California
82.0,False,new application,Vermont
56.0,False,new application,Phoenix
11.0,False,new application,California
73.0,False,new application,Phoenix
87.0,False,new application,Vermont
91.0,False,new application,Phoenix
81.0,False,new application,Vermont
84.0,False,new application,Vermont
76.0,False,new application,Vermont
87.0,False,new application,Vermont
78.0,False,new application,Vermont
150.0,False,new application,California
70.0,True,new application,California
79.0,False,new application,Vermont
84.0,False,new application,Vermont
44.0,False,new application,Texas
91.0,False,new application,Vermont
34.0,False,new application,California
85.0,False,new application,Vermont
85.0,False,new application,Vermont
84.0,False,new application,Vermont
80.0,False,new application,Vermont
86.0,False,renewal,California
76.0,False,new application,Vermont
79.0,False,new application,Vermont
19.0,False,new application,Dallas
74.0,False,new application,Phoenix
14.0,False,new application,Phoenix
62.0,False,new application,California
81.0,True,new application,Vermont
79.0,False,new application,California
78.0,False,new application,Vermont
19.0,False,new application,Phoenix
89.0,False,new application,California
21.0,False,new application,California
86.0,False,new application,California
82.0,False,new application,Vermont
74.0,False,new application,Dallas
89.0,False,new application,Vermont
70.0,False,new application,Vermont
82.0,False,new application,Vermont
76.0,False,new application,Vermont
73.0,False,new application,California
89.0,False,new application,Vermont
41.0,False,new application,Phoenix
73.0,False,new application,Vermont
88.0,False,new application,Dallas
53.0,False,new application,California
83.0,False,new application,Vermont
87.0,False,new application,Vermont
14.0,True,new application,Vermont
80.0,False,new application,Phoenix
76.0,False,new application,Vermont
65.0,False,new application,Texas
71.0,False,new application,Vermont
72.0,False,new application,California
75.0,False,new application,Phoenix
70.0,False,new application,Vermont
75.0,False,new application,Vermont
86.0,False,new application,Vermont
83.0,False,new application,California
10.0,True,new application,Vermont
86.0,False,new application,California
73.0,False,new application,Vermont
78.0,False,new application,Vermont
78.0,False,new application,Phoenix
71.0,False,new application,Texas
71.0,False,new application,California
76.0,False,new application,Dallas
84.0,False,new application,California
80.0,False,new application,Vermont
72.0,False,new application,Vermont
66.0,False,new application,Phoenix
55.0,False,new application,Vermont
82.0,False,new application,Texas
75.0,False,new application,Vermont
72.0,False,new application,Dallas
73.0,False,new application,Vermont
77.0,False,new application,Vermont
74.0,False,new application,Vermont
73.0,False,new application,Dallas
30.0,False,new application,Phoenix
84.0,False,new application,Vermont
75.0,False,new application,Dallas
77.0,False,new application,Vermont
71.0,False,new application,California
71.0,False,new application,Vermont
77.0,False,new application,Vermont
66.0,False,new application,California
83.0,False,new application,Vermont
58.0,False,new application,Vermont
50.0,False,new application,Vermont
72.0,False,new application,Vermont
81.0,False,new application,Vermont
72.0,False,new application,Vermont
77.0,False,new application,Texas
67.0,False,new application,Vermont
85.0,False,new application,Vermont
20.0,False,new application,Vermont
69.0,False,new application,Vermont
85.0,False,new application,Vermont
56.0,False,new application,Vermont
85.0,False,new application,Vermont
70.0,False,new application,Vermont
80.0,False,new application,Vermont
83.0,False,new application,California
21.0,False,new application,Phoenix
78.0,False,new application,Vermont
69.0,False,new application,Texas
60.0,False,new application,California
76.0,False,new application,Texas
74.0,False,new application,Vermont
63.0,False,new application,Vermont
74.0,False,new application,Vermont
81.0,False,new application,Vermont
72.0,False,new application,Vermont
67.0,False,new application,California
82.0,False,new application,Vermont
87.0,False,new application,Vermont
82.0,False,new application,Vermont
53.0,False,new application,Vermont
64.0,False,new application,Vermont
15.0,False,new application,California
20.0,True,new application,California
86.0,False,new application,Vermont
74.0,False,new application,Phoenix
67.0,False,new application,Vermont
81.0,False,new application,Vermont
80.0,False,new application,Vermont
83.0,False,new application,Vermont
75.0,False,new application,California
81.0,False,new application,Vermont
63.0,False,new application,Phoenix
55.0,False,new application,Phoenix
48.0,False,new application,Vermont
79.0,False,new application,California
20.0,False,new application,Phoenix
20.0,False,new application,Phoenix
72.0,False,new application,Vermont
70.0,False,new application,Vermont
74.0,False,new application,Texas
48.0,False,new application,California
76.0,False,new application,Texas
41.0,False,new application,California
21.0,False,new application,Phoenix
73.0,False,new application,Texas
80.0,False,new application,Vermont
80.0,False,new application,Vermont
45.0,False,new application,California
80.0,False,new application,Vermont
60.0,True,new application,California
79.0,False,new application,California
79.0,False,new application,Phoenix
48.0,False,new application,Vermont
9.0,False,new application,Phoenix
79.0,False,new application,Vermont
65.0,False,new application,Vermont
79.0,False,new application,Vermont
76.0,False,new application,Texas
66.0,False,new application,Vermont
74.0,False,new application,Texas
62.0,False,new application,California
78.0,False,new application,California
79.0,False,new application,Vermont
74.0,False,new application,Dallas
76.0,False,new application,Vermont
13.0,False,new application,California
24.0,False,new application,California
61.0,False,new application,Vermont
74.0,False,new application,Vermont
74.0,False,new application,California
76.0,False,new application,California
72.0,False,new application,Vermont
75.0,False,new application,Dallas
60.0,False,new application,Vermont
67.0,False,new application,Phoenix
71.0,False,new application,Vermont
74.0,False,new application,Vermont
72.0,False,new application,Vermont
40.0,False,new application,California
77.0,False,new application,Vermont
78.0,False,new application,California
75.0,False,new application,Vermont
59.0,False,new application,California
76.0,False,new application,Vermont
76.0,False,new application,Vermont
9.0,False,new application,California
49.0,False,new application,Texas
68.0,False,new application,Vermont
54.0,False,new application,California
76.0,False,new application,Vermont
45.0,False,new application,Vermont
73.0,False,new application,Vermont
51.0,False,new application,California
57.0,False,new application,California
60.0,False,new application,California
65.0,False,new application,California
53.0,False,new application,Phoenix
74.0,False,new application,Vermont
59.0,False,new application,California
65.0,False,new application,Vermont
31.0,False,new application,Phoenix
77.0,False,new application,Dallas
76.0,False,new application,Texas
56.0,False,new application,Texas
55.0,False,new application,Phoenix
69.0,False,new application,Vermont
73.0,False,new application,Vermont
73.0,False,new application,Vermont
75.0,False,new application,Vermont
65.0,False,new application,Vermont
79.0,False,new application,Phoenix
33.0,False,new application,Phoenix
60.0,False,new application,Texas
25.0,False,new application,Vermont
71.0,False,new application,Vermont
60.0,False,new application,Vermont
64.0,False,new application,Vermont
75.0,False,new application,Vermont
75.0,False,new application,Vermont
59.0,False,new application,Texas
63.0,False,new application,Vermont
30.0,False,new application,Phoenix
70.0,False,new application,Vermont
70.0,False,new application,Vermont
11.0,False,new application,California
68.0,False,new application,Dallas
70.0,False,new application,California
44.0,False,new application,California
62.0,False,new application,California
29.0,False,new application,California
65.0,False,new application,California
60.0,False,new application,Vermont
54.0,False,new application,California
35.0,False,new application,California
64.0,False,new application,Phoenix
62.0,False,new application,Vermont
69.0,False,new application,Vermont
73.0,False,new application,Vermont
43.0,False,new application,Vermont
52.0,False,new application,Vermont
54.0,False,new application,Phoenix
72.0,False,new application,Vermont
57.0,False,new application,California
72.0,False,new application,Texas
63.0,False,new application,California
69.0,False,new application,Phoenix
69.0,False,new application,California
71.0,False,new application,Vermont
63.0,False,new application,Texas
70.0,False,new application,Dallas
35.0,False,new application,California
71.0,False,new application,Vermont
33.0,False,new application,California
27.0,False,new application,California
63.0,False,new application,Vermont
29.0,False,new application,California
23.0,False,new application,California
71.0,False,new application,Vermont
64.0,False,new application,Texas
70.0,False,new application,California
45.0,False,new application,California
70.0,False,new application,Phoenix
71.0,False,new application,Vermont
71.0,False,new application,Vermont
69.0,False,new application,Vermont
68.0,False,new application,Dallas
69.0,False,new application,Dallas
56.0,False,new application,California
65.0,False,new application,Vermont
67.0,False,new application,Vermont
14.0,False,new application,California
20.0,False,new application,California
63.0,False,new application,Dallas
70.0,False,new application,Phoenix
70.0,False,new application,Vermont
63.0,False,new application,Texas
70.0,False,new application,Vermont
28.0,False,new application,California
53.0,False,new application,Vermont
63.0,False,new application,Vermont
58.0,False,new application,California
69.0,False,new application,Vermont
63.0,False,new application,Vermont
39.0,False,new application,Phoenix
33.0,True,new application,Vermont
70.0,False,new application,Dallas
59.0,False,new application,Vermont
70.0,False,new application,Vermont
70.0,False,new application,Vermont
62.0,False,new application,Vermont
63.0,False,new application,Vermont
66.0,False,new application,Phoenix
64.0,False,new application,California
66.0,False,new application,Dallas
66.0,False,new application,Dallas
62.0,False,new application,Dallas
45.0,False,new application,Phoenix
17.0,False,new application,California
50.0,False,new application,Phoenix
63.0,False,new application,Vermont
62.0,False,new application,Texas
